cve_ent,municipalitie,population,total_cases,cases_rate,cases_rate_last_60_days,total_deaths,deaths_rate,deaths_rate_last_60_days,pct_obesity_up20years,pct_hypertension_up20years,pct_diabetes_up20years
13019,Chilcuautla,19638,153,779.1017415215398,15.276504735716468,33,168.04155209288115,0.0,28.730975861868757,19.579604058934585,11.1832371056477
13020,Eloxochitlan,2972,4,134.58950201884252,0.0,0,0.0,0.0,22.30127363450636,22.715406680826348,14.263254106765066
13021,Emiliano Zapata,15803,330,2088.211099158388,44.29538695184458,47,297.411883819528,0.0,29.451895548967,19.512971238150282,12.703939165177417
13022,Epazoyucan,16053,232,1445.2127328225254,24.9174609107332,51,317.69762661184825,6.229365227683299,31.250861473124758,18.940374294870946,12.282823266400351
13023,Francisco I. Madero,38879,283,727.8993801280897,15.43249569176162,84,216.05493968466263,7.71624784588081,29.676497616654085,20.445812815999513,11.868833225086316
13024,Huasca de Ocampo,19077,87,456.0465481994024,41.93531477695655,18,94.35445824815224,0.0,29.204677765790954,18.782591684319772,12.35084543113727
13025,Huautla,23193,54,232.8288707799767,0.0,13,56.05139481740181,0.0,22.630229996885674,24.61576953888659,14.49257970857908
13026,Huazalingo,15009,19,126.59071223932308,0.0,3,19.98800719568259,0.0,24.47607858539109,16.889889136139846,10.815039637755062
13027,Huehuetla,27313,94,344.15845934170545,3.661260205762823,21,76.8864643210193,0.0,21.110875379792066,17.12845715891665,13.333830895391088
13028,Huejutla de Reyes,139683,831,594.9184940185992,9.306787511722971,139,99.5110357022687,0.0,27.721454747682294,12.676233697526213,11.008555724229202
13029,Huichapan,49792,598,1200.996143958869,24.10025706940874,80,160.66838046272494,2.0083547557840618,27.924989817846356,18.38659331480051,13.413570979182873
13030,Ixmiquilpan,99735,704,705.8705569759863,25.06642602897679,145,145.38527096806538,4.010628164636286,28.722536069935305,16.78299370413819,13.810336362742444
13031,Jacala de Ledezma,14478,19,131.23359580052494,0.0,5,34.535156789611825,0.0,25.57972245415187,21.0576373391156,15.122220214929685
13032,Jaltocan,12806,54,421.6773387474621,0.0,12,93.7060752772138,0.0,31.396541256522088,19.32633657282686,12.747082643164353
